Method,English,German,Latin,Swedish
Word2Vec + Procrustes,37/37 (100.0%),48/48 (100.0%),40/40 (100.0%),31/31 (100.0%)
BERT + Averaging,37/37 (100.0%),48/48 (100.0%),40/40 (100.0%),31/31 (100.0%)
Word2Vec + BERT,37/37 (100.0%),48/48 (100.0%),40/40 (100.0%),31/31 (100.0%)
RoBERTa + K-Means + JSD,27/37 (73.0%),48/48 (100.0%),40/40 (100.0%),31/31 (100.0%)
RoBERTa + AMD,28/37 (75.7%),48/48 (100.0%),40/40 (100.0%),31/31 (100.0%)
RoBERTa + SAMD,28/37 (75.7%),48/48 (100.0%),40/40 (100.0%),31/31 (100.0%)
